id,timestamp,raw,extra,source,message,log_level,parse_confidence
019e4601-f730-7f24-829c-5783c11e568c,,"timestamp,message",,log.csv,"timestamp,message",INFO,0.3
019e4601-f760-79d3-94b8-0d85a0c18bac,,"1779257956945,""START RequestId: 72013ff8-346b-4e2a-afe3-a24b3c3cf61a Version: $LATEST",,log.csv,"1779257956945,""START RequestId: 72013ff8-346b-4e2a-afe3-a24b3c3cf61a Version: $LATEST",INFO,0.3
019e4601-f780-796e-8cfa-006e24888e06,,"""",,log.csv,"""",INFO,0.3
019e4601-f7a8-7c3a-b68e-c35e75cc42ad,2026-05-20T06:19:16+00:00,"1779257956947,""{""""level"""":""""INFO"""",""""location"""":""""handler:1138"""",""""message"""":""""Processing S3 event"""",""""timestamp"""":""""2026-05-20 06:19:16,945+0000"""",""""service"""":""""chatbot"""",""""cold_start"""":false,""""function_name"""":""""smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"""",""""function_memory_size"""":""""1024"""",""""function_arn"""":""""arn:aws:lambda:ap-southeast-1:911167912085:function:smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"""",""""function_request_id"""":""""72013ff8-346b-4e2a-afe3-a24b3c3cf61a"""",""""bucket"""":""""smartai-hubstack-chatbota-datasetuploadbucketf312c-n015iyk1lucy"""",""""key"""":""""datasets/raw/c408ca9d-ff99-401e-bafa-582466d6daac/marketing_campaigns.xlsx"""",""""xray_trace_id"""":""""1-6a0d5264-13dfcf7e220ca70a3a555640""""}",,log.csv,"1779257956947,""{""""level"""":""""INFO"""",""""location"""":""""handler:1138"""",""""message"""":""""Processing S3 event"""",""""timestamp"""":""""2026-05-20 06:19:16,945+0000"""",""""service"""":""""chatbot"""",""""cold_start"""":false,""""function_name"""":""""smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"""",""""function_memory_size"""":""""1024"""",""""function_arn"""":""""arn:aws:lambda:ap-southeast-1:911167912085:function:smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"""",""""function_request_id"""":""""72013ff8-346b-4e2a-afe3-",TRACE,0.3
019e4601-f7c7-7605-9707-aaad4090cb6f,,"""",,log.csv,"""",INFO,0.3
019e4601-f7eb-7c56-8e68-3b663083b0aa,2026-05-20T06:19:17+00:00,"1779257957329,""{""""level"""":""""INFO"""",""""location"""":""""handler:1445"""",""""message"""":""""Excel file sheets"""",""""timestamp"""":""""2026-05-20 06:19:17,329+0000"""",""""service"""":""""chatbot"""",""""cold_start"""":false,""""function_name"""":""""smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"""",""""function_memory_size"""":""""1024"""",""""function_arn"""":""""arn:aws:lambda:ap-southeast-1:911167912085:function:smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"""",""""function_request_id"""":""""72013ff8-346b-4e2a-afe3-a24b3c3cf61a"""",""""sheets"""":[""""Sheet1""""],""""xray_trace_id"""":""""1-6a0d5264-13dfcf7e220ca70a3a555640""""}",,log.csv,"1779257957329,""{""""level"""":""""INFO"""",""""location"""":""""handler:1445"""",""""message"""":""""Excel file sheets"""",""""timestamp"""":""""2026-05-20 06:19:17,329+0000"""",""""service"""":""""chatbot"""",""""cold_start"""":false,""""function_name"""":""""smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"""",""""function_memory_size"""":""""1024"""",""""function_arn"""":""""arn:aws:lambda:ap-southeast-1:911167912085:function:smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"""",""""function_request_id"""":""""72013ff8-346b-4e2a-afe3-a2",TRACE,0.3
019e4601-f816-7b7a-a8fe-61741f782578,,"""",,log.csv,"""",INFO,0.3
019e4601-f837-785a-b116-62a6e864b10f,2026-05-20T06:19:18+00:00,"1779257958219,""{""""level"""":""""INFO"""",""""location"""":""""_llm_analyze_structure:1238"""",""""message"""":""""LLM structure analysis"""",""""timestamp"""":""""2026-05-20 06:19:18,219+0000"""",""""service"""":""""chatbot"""",""""cold_start"""":false,""""function_name"""":""""smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"""",""""function_memory_size"""":""""1024"""",""""function_arn"""":""""arn:aws:lambda:ap-southeast-1:911167912085:function:smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"""",""""function_request_id"""":""""72013ff8-346b-4e2a-afe3-a24b3c3cf61a"""",""""header_row"""":0,""""skip_footer"""":0,""""notes"""":""""Standard table with clean headers"""",""""xray_trace_id"""":""""1-6a0d5264-13dfcf7e220ca70a3a555640""""}",,log.csv,"1779257958219,""{""""level"""":""""INFO"""",""""location"""":""""_llm_analyze_structure:1238"""",""""message"""":""""LLM structure analysis"""",""""timestamp"""":""""2026-05-20 06:19:18,219+0000"""",""""service"""":""""chatbot"""",""""cold_start"""":false,""""function_name"""":""""smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"""",""""function_memory_size"""":""""1024"""",""""function_arn"""":""""arn:aws:lambda:ap-southeast-1:911167912085:function:smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"""",""""function_request_id"""":""""72013f",TRACE,0.3
019e4601-f856-7213-acac-4663e00f4280,,"""",,log.csv,"""",INFO,0.3
019e4601-f86f-74a1-8c3f-b27b8b6150c7,2026-05-20T06:19:18+00:00,"1779257958352,""{""""level"""":""""INFO"""",""""location"""":""""handler:1666"""",""""message"""":""""Loaded dataframe"""",""""timestamp"""":""""2026-05-20 06:19:18,352+0000"""",""""service"""":""""chatbot"""",""""cold_start"""":false,""""function_name"""":""""smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"""",""""function_memory_size"""":""""1024"""",""""function_arn"""":""""arn:aws:lambda:ap-southeast-1:911167912085:function:smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"""",""""function_request_id"""":""""72013ff8-346b-4e2a-afe3-a24b3c3cf61a"""",""""rows"""":50,""""cols"""":9,""""xray_trace_id"""":""""1-6a0d5264-13dfcf7e220ca70a3a555640""""}",,log.csv,"1779257958352,""{""""level"""":""""INFO"""",""""location"""":""""handler:1666"""",""""message"""":""""Loaded dataframe"""",""""timestamp"""":""""2026-05-20 06:19:18,352+0000"""",""""service"""":""""chatbot"""",""""cold_start"""":false,""""function_name"""":""""smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"""",""""function_memory_size"""":""""1024"""",""""function_arn"""":""""arn:aws:lambda:ap-southeast-1:911167912085:function:smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"""",""""function_request_id"""":""""72013ff8-346b-4e2a-afe3-a24",TRACE,0.3
019e4601-f88e-7932-acd9-1a3c494ba9ac,,"""",,log.csv,"""",INFO,0.3
019e4601-f8b2-7b82-9fbe-96f593585472,2026-05-20T06:19:18+00:00,"1779257958457,""{""""level"""":""""INFO"""",""""location"""":""""handler:1689"""",""""message"""":""""Uploaded Parquet"""",""""timestamp"""":""""2026-05-20 06:19:18,456+0000"""",""""service"""":""""chatbot"""",""""cold_start"""":false,""""function_name"""":""""smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"""",""""function_memory_size"""":""""1024"""",""""function_arn"""":""""arn:aws:lambda:ap-southeast-1:911167912085:function:smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"""",""""function_request_id"""":""""72013ff8-346b-4e2a-afe3-a24b3c3cf61a"""",""""key"""":""""datasets/staged/c408ca9d-ff99-401e-bafa-582466d6daac/52f2759d/data.parquet"""",""""xray_trace_id"""":""""1-6a0d5264-13dfcf7e220ca70a3a555640""""}",,log.csv,"1779257958457,""{""""level"""":""""INFO"""",""""location"""":""""handler:1689"""",""""message"""":""""Uploaded Parquet"""",""""timestamp"""":""""2026-05-20 06:19:18,456+0000"""",""""service"""":""""chatbot"""",""""cold_start"""":false,""""function_name"""":""""smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"""",""""function_memory_size"""":""""1024"""",""""function_arn"""":""""arn:aws:lambda:ap-southeast-1:911167912085:function:smartai-hubStack-ChatBotA-DatasetIngestionLambda6A-Uvu3oMpY3PMR"""",""""function_request_id"""":""""72013ff8-346b-4e2a-afe3-a24",TRACE,0.3
019e4601-f8d1-7927-bef4-bcc8094ff4d5,,"""",,log.csv,"""",INFO,0.3
